Country x Year,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
Bosnia and Herzegovina,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Botswana,1000,1200,1700,2600,3600,4900,6400,8100,9900,12000,14000,15000,16000,16000,14000,10000,8100,7100,7100,6100,5300,4900,4400,4000,3600,3200
Brazil,8700,11000,13000,16000,18000,21000,20000,19000,17000,14000,14000,15000,15000,15000,15000,15000,15000,15000,15000,15000,15000,15000,15000,16000,15000,15000
Brunei Darussalam,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Bulgaria,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Burkina Faso,5800,7000,8400,9700,11000,12000,13000,14000,14000,14000,14000,14000,14000,13000,12000,11000,8900,7400,6700,5700,5200,4500,3900,3900,3900,3600
Burundi,1000,1000,1100,1500,2000,2600,3200,3900,4600,5400,6200,6900,7500,8200,8500,8200,7900,7800,7400,6700,6100,5400,4700,4000,3700,3000
Cambodia,100,100,200,500,1000,1400,2400,3800,5400,7100,8600,9700,10000,11000,9900,8500,6500,4800,3800,3300,3200,3100,2800,2600,2300,2000
Cameroon,3400,4600,6100,7900,10000,12000,15000,18000,21000,23000,26000,29000,31000,33000,34000,32000,31000,32000,30000,28000,28000,30000,30000,30000,32000,33000
Canada,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Cape Verde,100,100,100,100,100,100,200,200,200,200,200,200,500,500,500,500,500,200,200,200,200,200,200,200,200,200
Central African Republic,1900,2500,3200,4000,5000,6100,7200,8400,9500,11000,12000,12000,13000,13000,14000,14000,13000,12000,11000,9400,9500,9600,9700,9500,9100,7800
Chad,1200,1600,1900,2400,2900,3400,4000,4700,5400,6200,7100,8000,8900,9800,11000,11000,11000,11000,11000,8500,8400,8900,9700,9700,9700,8500
Chile,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,500,500,500,1000,1000,1000,1000,1000,1000,1000,500,500
China,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Colombia,1000,1000,1000,1100,1300,1500,1800,2100,2300,2600,3000,3200,3300,3200,3300,3400,3500,3000,2700,3600,4600,4800,3900,3000,2700,2300
Congo,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Costa Rica,100,100,100,100,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,500,500,500,500
Croatia,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Cuba,100,100,100,100,100,100,100,100,100,100,200,200,100,100,100,200,200,200,200,200,200,200,200,200,200,500
Cyprus,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Czech Republic,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Cote d'Ivoire,6900,8900,11000,14000,17000,20000,23000,26000,29000,32000,35000,37000,38000,39000,39000,37000,35000,34000,30000,31000,22000,18000,22000,24000,25000,25000
Democratic People's Republic of Korea,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Democratic Republic of the Congo,20000,21000,23000,24000,26000,27000,28000,29000,30000,31000,33000,34000,36000,37000,37000,37000,36000,35000,35000,35000,33000,32000,31000,28000,25000,22000
Denmark,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Djibouti,100,100,100,100,100,200,200,500,500,500,500,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000
Dominican Republic,500,500,1000,1100,1500,1900,2500,3100,3800,4500,5200,5800,6300,6800,7300,7400,7000,6400,5700,5200,5000,4800,4400,4000,3700,3100
Ecuador,500,500,500,1000,1000,1000,1000,1000,1100,1200,1300,1500,1600,1600,1700,1600,1600,1600,1400,1100,1000,1000,1000,1000,1000,1000
Egypt,100,100,100,100,100,100,100,100,100,100,100,100,100,100,200,200,200,200,200,200,500,500,500,500,500,500
El Salvador,200,200,200,200,500,500,500,500,500,500,1000,1000,1000,1000,1000,1000,500,500,500,500,500,500,500,500,500,500
Equatorial Guinea,100,100,100,200,200,200,200,200,500,500,500,500,500,1000,1000,1000,1000,1000,1100,1300,1300,1500,1400,1200,1000,1100
Eritrea,100,200,200,500,500,500,500,1000,1000,1000,1000,1100,1200,1400,1500,1500,1400,1200,1000,1000,1000,1000,1000,1000,1000,500
Estonia,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Ethiopia,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Fiji,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Finland,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
France,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Gabon,200,500,500,500,500,1000,1000,1000,1200,1400,1700,1900,2200,2400,2500,2300,2000,2200,2400,2600,2500,2500,2200,1800,1400,1300
Gambia,100,100,100,100,100,200,200,200,500,500,500,500,1000,1000,1000,1000,1000,1000,1100,1100,1100,1000,1000,1000,1000,1000
Georgia,100,100,100,100,100,100,100,100,100,100,100,100,200,200,200,200,200,200,200,200,200,200,200,200,200,500
Germany,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Ghana,4400,5300,6400,7700,9100,11000,12000,14000,16000,17000,19000,20000,22000,23000,23000,23000,23000,23000,21000,20000,19000,17000,14000,13000,13000,13000
Greece,500,500,500,500,500,1000,1000,1000,1000,1000,1000,500,500,500,500,500,500,1000,1000,1000,1000,1000,500,500,500,500
Guatemala,100,100,100,100,100,100,200,200,500,500,500,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1300,1700
Guinea,500,1000,1000,1100,1600,2100,2700,3300,3900,4500,5100,5500,5900,6200,6500,6600,6400,5800,5900,5200,4700,4700,4700,4100,4500,4600
Guinea-Bissau,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Guyana,100,100,100,100,100,100,100,100,100,200,200,200,500,500,500,200,200,200,200,200,200,200,200,200,200,200
Haiti,1900,2700,3600,4700,6000,7500,9000,11000,12000,14000,16000,17000,18000,19000,20000,20000,20000,19000,16000,15000,14000,14000,13000,11000,9600,8000
Honduras,1300,1700,2000,2400,2700,3000,3300,3400,3600,3600,3700,3600,3500,3300,2700,2500,2300,2000,1800,1600,1500,1400,1300,1200,1100,1000
Hungary,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Iceland,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
India,2600,4200,6700,10000,15000,22000,30000,41000,53000,67000,82000,97000,110000,130000,140000,150000,150000,150000,140000,130000,120000,100000,96000,88000,76000,68000
Indonesia,100,100,100,100,100,100,100,200,500,500,1000,1000,1600,2500,3700,5400,7200,8700,11000,14000,18000,22000,26000,29000,33000,35000
Iran (Islamic Republic of),100,200,200,200,200,500,500,500,500,500,1000,1000,1000,1300,1600,1900,2200,2400,2700,3000,3200,3500,3600,3700,3900,4000
Ireland,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Israel,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Italy,100,100,100,100,100,100,100,200,500,1000,1000,1300,1400,1500,1500,1300,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000
Jamaica,200,500,500,500,1000,1000,1000,1200,1400,1600,1800,1900,2000,2100,2100,2100,1700,1700,1600,1500,1400,1400,1400,1300,1200,1200
Japan,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Kazakhstan,100,100,100,100,100,100,100,100,100,100,200,200,200,500,500,500,500,500,500,500,500,1000,1000,1000,1000,1000
Kenya,17000,24000,32000,41000,53000,65000,77000,90000,100000,110000,120000,130000,130000,130000,130000,120000,100000,87000,74000,62000,51000,44000,38000,38000,38000,36000
Kyrgyzstan,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,200,200,200,200,200,500,500,500,500,500
Lao People's Democratic Republic,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Latvia,100,100,100,100,100,200,200,200,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500
Lebanon,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
Lesotho,500,1000,1000,1300,1800,2500,3400,4400,5600,6900,8300,9800,11000,12000,14000,14000,14000,13000,12000,10000,9100,8300,8900,9300,9600,9900
Liberia,200,500,500,500,1000,1000,1000,1200,1500,1900,2100,2400,2600,2800,2900,3100,3100,2900,2800,2800,2600,2400,2100,2100,2000,1900
Lithuania,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Luxembourg,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Madagascar,100,100,100,200,500,500,500,1000,1000,1200,1500,1900,2200,2600,2900,3100,3400,3500,3600,3600,3600,3500,3400,3400,3300,3200
Malawi,13000,17000,21000,26000,31000,37000,43000,49000,55000,60000,65000,69000,73000,76000,77000,76000,73000,67000,59000,52000,47000,42000,38000,32000,29000,27000
Malaysia,100,200,1000,1200,2200,3400,4600,5600,6400,7100,7700,8100,8100,8000,8100,8100,8100,8100,8100,8000,8000,8100,8000,8000,7800,7200
Maldives,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Mali,2500,3300,4100,4900,5700,6400,7000,7600,8000,8300,8400,8500,8500,8400,8000,7300,7100,6200,5500,5400,5100,4800,4300,4800,5900,6500
Malta,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Mauritania,100,100,200,200,200,500,500,500,500,500,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000
Mauritius,100,100,100,100,100,100,100,100,200,200,500,500,500,500,500,1000,1000,1000,1000,1000,1000,1000,500,1000,1000,500
Mexico,500,1000,1200,1900,2800,3600,4500,5700,6900,8000,8700,8700,8600,8200,7500,7400,7200,6500,5900,5500,5200,5000,4800,4200,4100,4000
Mongolia,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
Montenegro,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Morocco,100,100,100,100,200,200,200,500,500,500,500,500,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000
Mozambique,2900,3800,5100,6800,8700,11000,14000,17000,20000,24000,29000,34000,39000,45000,50000,54000,58000,57000,51000,50000,54000,56000,56000,57000,48000,39000
Myanmar,100,200,500,1000,1200,2000,2900,4100,5300,6700,8100,9700,11000,13000,15000,16000,17000,17000,16000,16000,16000,16000,15000,13000,11000,9700
Namibia,200,500,500,1000,1100,1700,2500,3400,4600,5900,7300,8700,10000,11000,12000,11000,9300,7500,5200,5500,4900,4200,3600,3200,3000,3100
Nepal,100,100,100,100,100,100,100,100,200,500,500,1000,1000,1200,1500,1900,2200,2400,2500,2400,2600,2700,2600,2500,2400,2300
Netherlands,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
New Zealand,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Nicaragua,500,500,500,500,500,500,500,500,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,500,500,500,500,500
Niger,500,500,500,1000,1000,1100,1400,1800,2200,2700,3200,3600,4100,4500,4900,5200,5200,5100,5100,5000,4200,4200,3900,3600,3400,3600
Nigeria,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Norway,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Oman,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Pakistan,100,100,200,200,200,500,500,500,500,500,500,500,1000,1000,1000,1000,1000,1000,1100,1300,1500,1800,2100,2600,3000,3600
Panama,100,100,200,200,500,500,500,1000,1000,1000,500,500,1000,1000,1000,1000,1000,1000,1000,500,500,500,500,500,500,500
Papua New Guinea,100,100,100,100,200,500,500,500,1000,1000,1000,1100,1300,1600,1800,2000,2000,1800,1400,1400,1500,1600,1500,1300,1000,1000
Paraguay,100,100,200,200,200,500,500,500,500,500,500,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000
Peru,2600,3000,3300,3600,3900,4100,4200,4400,4500,4500,4600,4600,4600,4300,4000,4000,3800,3300,2800,2600,2000,1800,1600,1300,1300,1600
Philippines,100,100,100,100,100,100,100,100,100,100,100,100,200,200,200,500,500,500,500,500,500,500,500,500,1000,1000
Poland,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Portugal,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Republic of Korea,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Republic of Moldova,100,100,100,100,100,100,100,100,200,200,500,500,500,500,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000
Romania,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Russian Federation,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Rwanda,6900,7800,8600,9300,10000,11000,13000,14000,16000,17000,17000,17000,17000,17000,17000,14000,10000,7300,6500,6000,5000,4000,3400,3100,2900,2900
Senegal,500,500,500,500,500,1000,1000,1000,1000,1200,1400,1700,1900,2200,2500,2800,3000,3000,1900,1800,1800,1800,1900,2100,2200,2200
Serbia,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Sierra Leone,100,100,100,100,100,100,200,200,500,500,1000,1000,1000,1300,1600,1900,2200,2400,2600,2600,2600,2700,2500,2500,2600,2500
Singapore,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Slovakia,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Slovenia,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Somalia,100,100,200,200,500,500,500,1000,1000,1000,1100,1300,1500,1600,1800,1900,2000,2000,2100,2000,2100,2100,2100,2000,2000,2000
South Africa,3000,5300,9200,15000,25000,39000,58000,82000,110000,150000,190000,240000,280000,330000,370000,400000,410000,410000,390000,350000,320000,310000,270000,220000,190000,180000
South Sudan,100,200,500,500,1000,1000,1100,1500,2100,2700,3400,4200,5000,5900,6800,7700,8500,9400,10000,11000,11000,11000,12000,12000,12000,12000
Spain,3200,3700,4400,5000,5600,6200,4500,2800,1700,1200,1000,1000,1000,1000,1000,1000,1100,1100,1200,1200,1300,1300,1300,1300,1300,1200
Sri Lanka,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,200,200,200,200
Sudan,100,100,200,200,200,500,500,500,500,1000,1000,1000,1000,1000,1100,1300,1400,1600,1800,1700,1800,2100,2400,2600,2800,3000
Suriname,100,100,100,100,100,100,100,100,100,100,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200
Swaziland,100,500,500,1000,1000,1500,2200,2900,3800,4700,5700,6600,7300,7800,8200,8300,7400,6400,5900,5600,5400,5100,4600,4200,4000,3800
Sweden,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Switzerland,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Tajikistan,100,100,100,100,100,100,100,100,100,200,200,200,500,500,500,500,500,1000,1000,1000,1000,1000,1000,1000,1000,1000
Thailand,500,1600,4000,7900,13000,20000,28000,35000,41000,46000,50000,51000,51000,48000,43000,34000,25000,22000,21000,20000,19000,18000,17000,17000,16000,14000
The former Yugoslav Republic of Macedonia,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Timor-Leste,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Togo,1000,1000,1100,1500,1900,2500,3100,3800,4600,5400,6300,7100,7900,8600,9000,9100,8800,9000,9200,8800,7900,6500,5700,5200,5200,5100
Trinidad and Tobago,100,100,200,200,200,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500
Tunisia,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
Turkey,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Uganda,47000,57000,66000,74000,81000,86000,90000,92000,93000,92000,91000,88000,85000,80000,76000,66000,57000,60000,59000,53000,50000,46000,43000,39000,33000,28000
Ukraine,500,1000,1000,1000,1000,1300,1600,2000,2600,3400,4400,5700,7100,8700,10000,12000,13000,14000,14000,14000,14000,14000,14000,11000,8700,7900
United Kingdom of Great Britain and Northern Ireland,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
United Republic of Tanzania,22000,28000,34000,41000,49000,57000,65000,73000,80000,87000,92000,97000,100000,100000,100000,110000,100000,89000,71000,70000,66000,59000,63000,52000,43000,36000
United States of America,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Uruguay,100,100,100,100,200,200,200,200,200,200,200,200,200,200,200,500,500,500,500,1000,1000,1000,500,500,500,500
Uzbekistan,100,100,100,100,100,100,100,100,200,500,500,1000,1000,1100,1500,2000,2500,2900,3200,3500,3700,3900,3700,3400,3000,2600
Venezuela (Bolivarian Republic of),100,100,100,100,100,200,500,1000,1000,1100,1500,1600,1400,1400,1500,1700,1800,1900,1900,1700,1700,2000,2300,2600,3100,3300
Viet Nam,100,100,100,100,100,200,500,500,1000,1500,2300,3500,4800,6400,8000,9500,10000,10000,9000,7700,7700,8700,9200,9600,9500,8900
Yemen,100,100,100,100,100,100,100,200,200,200,200,200,200,200,500,500,500,500,500,500,500,500,500,500,500,500
Zambia,20000,25000,30000,35000,40000,45000,50000,54000,58000,62000,65000,67000,69000,70000,66000,62000,58000,51000,37000,31000,29000,30000,27000,23000,20000,20000
Zimbabwe,22000,30000,38000,48000,58000,69000,81000,92000,100000,110000,120000,120000,120000,120000,120000,110000,100000,88000,76000,64000,52000,43000,37000,35000,30000,29000
