Country x Year,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
Chad,2.271894751,2.739637788,3.207380825,3.741944296,4.3433282,5.078352973,5.813377745,6.548402517,7.350247723,8.018452062,8.6866564,10.02306508,10.69126942,10.69126942,11.35947375,11.35947375,12.02767809,12.02767809,12.02767809,12.02767809,12.02767809,12.02767809,11.35947375,11.35947375,11.35947375,11.35947375
Chile,0.546045416,0.600649958,0.600649958,0.600649958,0.655254499,0.655254499,0.709859041,0.764463583,0.764463583,0.819068124,0.819068124,0.873672666,0.928277208,0.982881749,1.037486291,1.092090832,1.146695374,1.201299916,1.310508999,1.365113541,1.419718082,1.474322624,1.528927165,1.638136249,1.69274079,1.747345332
China,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Colombia,0.387217889,0.468737444,0.550257,0.631776555,0.713296111,0.794815666,0.876335222,0.957854777,1.039374333,1.120893888,1.222793332,1.304312888,1.406212332,1.508111777,1.610011221,1.732290554,1.834189999,1.956469332,2.037988887,2.241787776,2.241787776,2.445586665,2.445586665,2.649385553,2.853184442,3.056983331
Congo,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Costa Rica,0.285386615,0.305771374,0.34654089,0.387310406,0.428079923,0.468849439,0.509618956,0.570773231,0.631927505,0.672697022,0.733851296,0.815390329,0.896929362,0.978468395,1.080392186,1.161931219,1.263855011,1.345394043,1.447317835,1.528856868,1.630780659,1.712319692,1.793858725,1.895782516,1.956936791,2.038475823
Croatia,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Cuba,0.087794894,0.087794894,0.087794894,0.087794894,0.087794894,0.105353873,0.122912852,0.140471831,0.15803081,0.184369278,0.210707746,0.245825704,0.289723151,0.342400088,0.395077024,0.45653345,0.535548855,0.61456426,0.711138644,0.816492517,0.965743837,1.141333626,1.22912852,1.492513203,1.668102991,1.931487674
Cyprus,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Czech Republic,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Cote d'Ivoire,8.81764382,10.49719502,12.17674623,13.85629743,15.95573644,17.63528764,19.31483884,20.57450225,21.83416565,22.25405345,22.67394125,22.67394125,22.67394125,22.25405345,21.41427785,20.99439005,20.57450225,20.15461445,19.73472664,19.73472664,19.73472664,19.73472664,19.73472664,19.73472664,19.73472664,19.31483884
Democratic People's Republic of Korea,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
