Country x Year,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
Costa Rica,0.101923791,0.101923791,0.101923791,0.203847582,0.203847582,0.203847582,0.203847582,0.203847582,0.203847582,0.224232341,0.244617099,0.244617099,0.244617099,0.224232341,0.224232341,0.224232341,0.224232341,0.224232341,0.224232341,0.224232341,0.224232341,0.224232341,0.224232341,0.224232341,0.224232341,0.224232341
Croatia,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Cuba,0.008779489,0.008779489,0.017558979,0.017558979,0.017558979,0.017558979,0.017558979,0.043897447,0.043897447,0.043897447,0.043897447,0.043897447,0.043897447,0.043897447,0.043897447,0.043897447,0.043897447,0.043897447,0.043897447,0.087794894,0.087794894,0.087794894,0.087794894,0.087794894,0.087794894,0.087794894
Cyprus,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Czech Republic,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Cote d'Ivoire,0.755798042,1.007730722,1.385629743,1.805517544,2.351371685,2.939214607,3.611035088,4.198878009,5.038653611,5.878429213,6.718204815,7.557980417,8.397756019,9.237531621,10.07730722,10.49719502,10.91708282,10.91708282,11.33697063,11.33697063,11.33697063,10.49719502,10.07730722,9.657419422,9.657419422,9.657419422
Democratic People's Republic of Korea,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Democratic Republic of the Congo,1.580687693,1.823870415,2.067053137,2.310235859,2.43182722,2.675009942,2.918192664,3.039784025,3.282966747,3.404558108,3.526149468,3.647740829,3.76933219,4.012514912,4.134106273,4.255697634,4.255697634,4.377288995,4.377288995,4.377288995,4.377288995,4.377288995,4.255697634,4.255697634,4.134106273,4.012514912
Denmark,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Djibouti,0.109723475,0.109723475,0.109723475,0.109723475,0.21944695,0.548617374,0.548617374,1.097234749,1.097234749,1.206958224,1.645852123,2.084746023,2.633363398,3.181980772,3.840321621,4.388938996,4.827832896,5.15700332,5.486173745,5.59589722,5.81534417,5.925067645,5.925067645,5.925067645,5.925067645,5.81534417
Dominican Republic,0.046440071,0.092880143,0.111456171,0.176472271,0.269352414,0.408672628,0.585144899,0.798769227,1.021681569,1.39320214,1.76472271,2.136243281,2.600643994,2.972164564,3.436565277,3.900965991,4.179606419,4.458246846,4.551126989,4.644007132,4.644007132,4.551126989,4.551126989,4.365366704,4.272486561,4.086726276
Ecuador,0.108265623,0.126309894,0.150368921,0.174427949,0.204501733,0.240590274,0.282693572,0.32479687,0.378929681,0.433062493,0.487195304,0.547342873,0.601475685,0.661623253,0.721770821,0.78191839,0.78191839,0.842065958,0.842065958,0.842065958,0.78191839,0.78191839,0.721770821,0.721770821,0.721770821,0.661623253
Egypt,0.001050254,0.001050254,0.001050254,0.001050254,0.001050254,0.001050254,0.002100507,0.002100507,0.002100507,0.005251268,0.005251268,0.005251268,0.005251268,0.005251268,0.010502536,0.010502536,0.010502536,0.010502536,0.010502536,0.010502536,0.011552789,0.012603043,0.01470355,0.015753803,0.017854311,0.019954818
El Salvador,0.162149532,0.162149532,0.162149532,0.194579438,0.227009345,0.259439251,0.308084111,0.35672897,0.421588783,0.470233643,0.551308409,0.616168222,0.697242988,0.762102801,0.81074766,0.843177567,0.843177567,0.843177567,0.826962613,0.81074766,0.794532707,0.762102801,0.713457941,0.681028035,0.664813081,0.648598128
Equatorial Guinea,0.223597596,0.55899399,0.55899399,0.55899399,0.55899399,1.117987979,1.117987979,1.117987979,1.117987979,1.341585575,1.565183171,1.788780767,2.124177161,2.571372353,3.018567544,3.577561534,4.248354322,5.030945907,5.813537493,6.596129078,7.378720664,8.273111048,9.055702633,9.614696623,9.838294219,10.28548941
Eritrea,0.036483661,0.091209152,0.091209152,0.182418305,0.182418305,0.182418305,0.237143796,0.310111118,0.401320271,0.529013084,0.674947728,0.839124202,1.039784338,1.258686304,1.477588269,1.678248405,1.824183049,2.006601354,2.006601354,2.006601354,1.824183049,1.824183049,1.824183049,1.732973896,1.641764744,1.532313761
Estonia,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Ethiopia,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Fiji,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Finland,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
France,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Gabon,0.277587784,0.555175569,0.555175569,0.610693126,0.777245796,0.999316024,1.332421365,1.721044263,2.165184718,2.775877844,3.442088526,4.163816765,4.996580118,6.106931256,6.662106825,7.217282393,7.772457962,7.772457962,8.327633531,8.8828091,8.8828091,9.437984668,9.437984668,9.437984668,8.8828091,8.8828091
Gambia,0.094321025,0.094321025,0.235802563,0.235802563,0.235802563,0.235802563,0.471605127,0.471605127,0.471605127,0.565926152,0.70740769,0.896049741,1.131852305,1.414815381,1.792099482,2.169383584,2.593828198,2.9711123,3.395556914,3.820001528,4.19728563,4.574569731,4.716051269,5.187656396,5.187656396,5.187656396
Georgia,0.050345724,0.050345724,0.050345724,0.050345724,0.050345724,0.12586431,0.12586431,0.12586431,0.12586431,0.12586431,0.12586431,0.12586431,0.12586431,0.12586431,0.12586431,0.12586431,0.12586431,0.12586431,0.25172862,0.25172862,0.25172862,0.25172862,0.25172862,0.25172862,0.25172862,0.25172862
Germany,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Ghana,0.767708157,0.907291458,1.11666641,1.326041362,1.570312139,1.849478742,2.16354117,2.512499423,2.896353501,3.315103405,3.838540785,4.187499038,4.536457291,4.885415545,5.234373798,5.583332051,5.932290304,6.281248557,6.281248557,6.281248557,6.281248557,6.281248557,6.281248557,5.932290304,5.583332051,5.583332051
Greece,0.100982922,0.119343453,0.128523719,0.14688425,0.156064516,0.165244781,0.183605312,0.192785578,0.201965844,0.211146109,0.211146109,0.211146109,0.201965844,0.192785578,0.183605312,0.183605312,0.183605312,0.183605312,0.192785578,0.192785578,0.192785578,0.192785578,0.192785578,0.192785578,0.183605312,0.183605312
Guatemala,0.005880451,0.005880451,0.005880451,0.011760903,0.011760903,0.029402257,0.029402257,0.058804515,0.058804515,0.082326321,0.111728578,0.147011287,0.194054899,0.252859414,0.27638122,0.305783477,0.341066186,0.382229346,0.417512055,0.458675215,0.499838376,0.505718827,0.505718827,0.51747973,0.558642891,0.646849663
