Country x Year,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
Democratic People's Republic of Korea,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Democratic Republic of the Congo,0.462047172,0.486365444,0.522842852,0.559320261,0.607956805,0.656593349,0.680911622,0.693070758,0.693070758,0.705229894,0.680911622,0.656593349,0.632275077,0.595797669,0.547161124,0.49852458,0.449888036,0.401251491,0.352614947,0.303978402,0.27966013,0.267500994,0.255341858,0.231023586,0.21886445,0.182387041
Denmark,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Djibouti,0.548617374,0.548617374,1.097234749,1.097234749,1.426405174,1.755575598,1.865299073,1.975022548,1.865299073,1.755575598,1.645852123,1.426405174,1.206958224,1.097234749,1.097234749,1.097234749,1.097234749,1.097234749,1.097234749,1.097234749,1.097234749,1.097234749,1.097234749,1.097234749,1.097234749,1.097234749
Dominican Republic,0.69660107,0.854497312,1.021681569,1.114561712,1.207441854,1.207441854,1.300321997,1.300321997,1.207441854,1.114561712,0.928801426,0.808057241,0.678025041,0.557280856,0.445824685,0.390096599,0.325080499,0.278640428,0.250776385,0.232200357,0.213624328,0.204336314,0.204336314,0.213624328,0.204336314,0.185760285
Ecuador,0.120295137,0.132324651,0.144354164,0.150368921,0.156383678,0.168413192,0.174427949,0.156383678,0.132324651,0.132324651,0.132324651,0.132324651,0.132324651,0.132324651,0.126309894,0.120295137,0.120295137,0.11428038,0.108265623,0.09623611,0.090221353,0.084206596,0.084206596,0.078191839,0.078191839,0.078191839
Egypt,0.001050254,0.001050254,0.001050254,0.002100507,0.002100507,0.002100507,0.002100507,0.005251268,0.005251268,0.005251268,0.005251268,0.005251268,0.005251268,0.005251268,0.010502536,0.010502536,0.010502536,0.010502536,0.010502536,0.010502536,0.010502536,0.012603043,0.013653296,0.01470355,0.015753803,0.015753803
El Salvador,0.162149532,0.162149532,0.162149532,0.178364485,0.194579438,0.227009345,0.243224298,0.259439251,0.275654204,0.291869158,0.308084111,0.308084111,0.308084111,0.308084111,0.291869158,0.275654204,0.259439251,0.243224298,0.210794392,0.194579438,0.178364485,0.162149532,0.162149532,0.162149532,0.162149532,0.162149532
Equatorial Guinea,0.55899399,0.55899399,0.55899399,0.55899399,0.55899399,1.117987979,1.117987979,1.117987979,1.341585575,1.676981969,2.012378363,2.459573555,2.906768746,3.353963938,3.80115913,4.024756726,4.136555524,4.024756726,3.689360332,3.24216514,2.571372353,2.012378363,1.453384373,1.117987979,0.55899399,0.55899399
Eritrea,0.273627457,0.328352949,0.36483661,0.401320271,0.401320271,0.401320271,0.401320271,0.38307844,0.36483661,0.328352949,0.291869288,0.255385627,0.218901966,0.200660135,0.182418305,0.182418305,0.182418305,0.182418305,0.091209152,0.091209152,0.091209152,0.091209152,0.091209152,0.182418305,0.182418305,0.182418305
Estonia,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Ethiopia,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Fiji,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Finland,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
