Country x Year,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
Chad,0.080184521,0.106912694,0.126958824,0.160369041,0.193779258,0.227189475,0.267281735,0.314056039,0.360830343,0.41428669,0.47442508,0.534563471,0.594701861,0.654840252,0.735024772,0.735024772,0.735024772,0.735024772,0.735024772,0.567973688,0.561291644,0.594701861,0.648158208,0.648158208,0.648158208,0.567973688
Chile,0.054604542,0.054604542,0.054604542,0.054604542,0.054604542,0.054604542,0.054604542,0.054604542,0.054604542,0.054604542,0.054604542,0.054604542,0.054604542,0.054604542,0.027302271,0.027302271,0.027302271,0.054604542,0.054604542,0.054604542,0.054604542,0.054604542,0.054604542,0.054604542,0.027302271,0.027302271
China,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Colombia,0.020379889,0.020379889,0.020379889,0.022417878,0.026493856,0.030569833,0.0366838,0.042797767,0.046873744,0.052987711,0.061139667,0.065215644,0.067253633,0.065215644,0.067253633,0.069291622,0.071329611,0.061139667,0.0550257,0.0733676,0.093747489,0.097823467,0.079481567,0.061139667,0.0550257,0.046873744
Congo,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Costa Rica,0.020384758,0.020384758,0.020384758,0.020384758,0.040769516,0.040769516,0.040769516,0.040769516,0.040769516,0.040769516,0.040769516,0.040769516,0.040769516,0.040769516,0.040769516,0.040769516,0.040769516,0.040769516,0.040769516,0.040769516,0.040769516,0.040769516,0.101923791,0.101923791,0.101923791,0.101923791
Croatia,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Cuba,0.008779489,0.008779489,0.008779489,0.008779489,0.008779489,0.008779489,0.008779489,0.008779489,0.008779489,0.008779489,0.017558979,0.017558979,0.008779489,0.008779489,0.008779489,0.017558979,0.017558979,0.017558979,0.017558979,0.017558979,0.017558979,0.017558979,0.017558979,0.017558979,0.017558979,0.043897447
Cyprus,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Czech Republic,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Cote d'Ivoire,0.289722583,0.373700143,0.461876581,0.587842921,0.713809262,0.839775602,0.965741942,1.091708282,1.217674623,1.343640963,1.469607303,1.553584863,1.595573644,1.637562424,1.637562424,1.553584863,1.469607303,1.427618523,1.259663403,1.301652183,0.923753162,0.755798042,0.923753162,1.007730722,1.049719502,1.049719502
Democratic People's Republic of Korea,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Democratic Republic of the Congo,0.243182722,0.255341858,0.27966013,0.291819266,0.316137539,0.328296675,0.340455811,0.352614947,0.364774083,0.376933219,0.401251491,0.413410627,0.4377289,0.449888036,0.449888036,0.449888036,0.4377289,0.425569763,0.425569763,0.425569763,0.401251491,0.389092355,0.376933219,0.340455811,0.303978402,0.267500994
Denmark,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Djibouti,0.109723475,0.109723475,0.109723475,0.109723475,0.109723475,0.21944695,0.21944695,0.548617374,0.548617374,0.548617374,0.548617374,1.097234749,1.097234749,1.097234749,1.097234749,1.097234749,1.097234749,1.097234749,1.097234749,1.097234749,1.097234749,1.097234749,1.097234749,1.097234749,1.097234749,1.097234749
Dominican Republic,0.046440071,0.046440071,0.092880143,0.102168157,0.139320214,0.176472271,0.232200357,0.287928442,0.352944542,0.417960642,0.482976742,0.538704827,0.585144899,0.63158497,0.678025041,0.687313055,0.650160998,0.594432913,0.529416813,0.482976742,0.464400713,0.445824685,0.408672628,0.371520571,0.343656528,0.287928442
Ecuador,0.030073784,0.030073784,0.030073784,0.060147568,0.060147568,0.060147568,0.060147568,0.060147568,0.066162325,0.072177082,0.078191839,0.090221353,0.09623611,0.09623611,0.102250866,0.09623611,0.09623611,0.09623611,0.084206596,0.066162325,0.060147568,0.060147568,0.060147568,0.060147568,0.060147568,0.060147568
Egypt,0.001050254,0.001050254,0.001050254,0.001050254,0.001050254,0.001050254,0.001050254,0.001050254,0.001050254,0.001050254,0.001050254,0.001050254,0.001050254,0.001050254,0.002100507,0.002100507,0.002100507,0.002100507,0.002100507,0.002100507,0.005251268,0.005251268,0.005251268,0.005251268,0.005251268,0.005251268
El Salvador,0.032429906,0.032429906,0.032429906,0.032429906,0.081074766,0.081074766,0.081074766,0.081074766,0.081074766,0.081074766,0.162149532,0.162149532,0.162149532,0.162149532,0.162149532,0.162149532,0.081074766,0.081074766,0.081074766,0.081074766,0.081074766,0.081074766,0.081074766,0.081074766,0.081074766,0.081074766
Equatorial Guinea,0.111798798,0.111798798,0.111798798,0.223597596,0.223597596,0.223597596,0.223597596,0.223597596,0.55899399,0.55899399,0.55899399,0.55899399,0.55899399,1.117987979,1.117987979,1.117987979,1.117987979,1.117987979,1.229786777,1.453384373,1.453384373,1.676981969,1.565183171,1.341585575,1.117987979,1.229786777
Eritrea,0.01824183,0.036483661,0.036483661,0.091209152,0.091209152,0.091209152,0.091209152,0.182418305,0.182418305,0.182418305,0.182418305,0.200660135,0.218901966,0.255385627,0.273627457,0.273627457,0.255385627,0.218901966,0.182418305,0.182418305,0.182418305,0.182418305,0.182418305,0.182418305,0.182418305,0.091209152
Estonia,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Ethiopia,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Fiji,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Finland,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
France,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Gabon,0.111035114,0.277587784,0.277587784,0.277587784,0.277587784,0.555175569,0.555175569,0.555175569,0.666210682,0.777245796,0.943798467,1.054833581,1.221386251,1.332421365,1.387938922,1.276903808,1.110351137,1.221386251,1.332421365,1.443456479,1.387938922,1.387938922,1.221386251,0.999316024,0.777245796,0.721728239
Gambia,0.047160513,0.047160513,0.047160513,0.047160513,0.047160513,0.094321025,0.094321025,0.094321025,0.235802563,0.235802563,0.235802563,0.235802563,0.471605127,0.471605127,0.471605127,0.471605127,0.471605127,0.471605127,0.51876564,0.51876564,0.51876564,0.471605127,0.471605127,0.471605127,0.471605127,0.471605127
Georgia,0.025172862,0.025172862,0.025172862,0.025172862,0.025172862,0.025172862,0.025172862,0.025172862,0.025172862,0.025172862,0.025172862,0.025172862,0.050345724,0.050345724,0.050345724,0.050345724,0.050345724,0.050345724,0.050345724,0.050345724,0.050345724,0.050345724,0.050345724,0.050345724,0.050345724,0.12586431
Germany,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Ghana,0.153541631,0.184947874,0.223333282,0.268697855,0.31755201,0.383854079,0.418749904,0.488541554,0.558333205,0.59322903,0.663020681,0.697916506,0.767708157,0.802603982,0.802603982,0.802603982,0.802603982,0.802603982,0.732812332,0.697916506,0.663020681,0.59322903,0.488541554,0.453645729,0.453645729,0.453645729
Greece,0.045901328,0.045901328,0.045901328,0.045901328,0.045901328,0.091802656,0.091802656,0.091802656,0.091802656,0.091802656,0.091802656,0.045901328,0.045901328,0.045901328,0.045901328,0.045901328,0.045901328,0.091802656,0.091802656,0.091802656,0.091802656,0.091802656,0.045901328,0.045901328,0.045901328,0.045901328
Guatemala,0.005880451,0.005880451,0.005880451,0.005880451,0.005880451,0.005880451,0.011760903,0.011760903,0.029402257,0.029402257,0.029402257,0.058804515,0.058804515,0.058804515,0.058804515,0.058804515,0.058804515,0.058804515,0.058804515,0.058804515,0.058804515,0.058804515,0.058804515,0.058804515,0.076445869,0.099967675
Guinea,0.037620407,0.075240814,0.075240814,0.082764895,0.120385302,0.158005709,0.203150197,0.248294686,0.293439174,0.338583662,0.383728151,0.413824476,0.443920802,0.466493046,0.48906529,0.496589372,0.481541209,0.43639672,0.443920802,0.391252232,0.353631825,0.353631825,0.353631825,0.308487337,0.338583662,0.346107744
Guinea-Bissau,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Guyana,0.129131064,0.129131064,0.129131064,0.129131064,0.129131064,0.129131064,0.129131064,0.129131064,0.129131064,0.258262128,0.258262128,0.258262128,0.645655321,0.645655321,0.645655321,0.258262128,0.258262128,0.258262128,0.258262128,0.258262128,0.258262128,0.258262128,0.258262128,0.258262128,0.258262128,0.258262128
Haiti,0.172990312,0.245828339,0.327771118,0.427923404,0.546285197,0.682856496,0.819427795,1.001522861,1.092570394,1.274665459,1.456760525,1.547808058,1.638855591,1.729903124,1.820950656,1.820950656,1.820950656,1.729903124,1.456760525,1.365712992,1.274665459,1.274665459,1.183617927,1.001522861,0.874056315,0.728380263
Honduras,0.156538298,0.204703928,0.24082815,0.28899378,0.325118003,0.361242225,0.397366448,0.409407855,0.43349067,0.43349067,0.445532078,0.43349067,0.421449263,0.397366448,0.325118003,0.301035188,0.276952373,0.24082815,0.216745335,0.19266252,0.180621113,0.168579705,0.156538298,0.14449689,0.132455483,0.120414075
Hungary,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Iceland,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
India,0.001936667,0.003128462,0.004990642,0.007448719,0.011173079,0.016387182,0.022346157,0.030539748,0.039478211,0.049906418,0.061079496,0.072252575,0.08193591,0.096833348,0.104282067,0.111730786,0.111730786,0.111730786,0.104282067,0.096833348,0.089384629,0.074487191,0.071507703,0.065548728,0.056610265,0.05065129
Indonesia,0.000379492,0.000379492,0.000379492,0.000379492,0.000379492,0.000379492,0.000379492,0.000758984,0.00189746,0.00189746,0.00379492,0.00379492,0.006071872,0.009487301,0.014041205,0.02049257,0.027323426,0.033015807,0.041744123,0.053128884,0.068308565,0.083488246,0.098667928,0.110052688,0.12523237,0.13282221
