Country x Year,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
Belize,100,100,100,100,100,100,100,100,100,100,100,200,200,500,500,500,500,500,1000,1000,1000,1000,1000,1000,1000,1000
Benin,200,500,500,1000,1300,2100,3200,4600,6400,8700,11000,14000,18000,21000,25000,29000,33000,37000,40000,41000,40000,39000,38000,37000,37000,36000
Bhutan,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Bolivia (Plurinational State of),500,1000,1000,1100,1500,1900,2400,3000,3700,4400,5100,5900,6600,7400,8000,8600,9100,9500,9800,10000,10000,10000,10000,9900,9700,9500
Bosnia and Herzegovina,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Botswana,1600,2700,4500,7100,11000,16000,22000,31000,40000,51000,63000,75000,87000,97000,100000,110000,100000,100000,96000,92000,86000,81000,76000,70000,65000,60000
Brazil,28000,38000,49000,63000,77000,93000,110000,120000,130000,140000,140000,140000,140000,140000,130000,130000,130000,120000,120000,120000,110000,110000,110000,110000,100000,100000
Brunei Darussalam,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Bulgaria,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Burkina Faso,19000,26000,34000,44000,54000,66000,78000,89000,100000,110000,120000,130000,140000,140000,150000,150000,140000,140000,130000,120000,110000,100000,95000,86000,78000,71000
Burundi,2100,2900,4000,5500,7400,9900,13000,17000,22000,27000,33000,40000,47000,55000,62000,68000,72000,76000,79000,81000,81000,81000,79000,76000,73000,69000
Cambodia,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Cameroon,9600,14000,19000,27000,36000,48000,62000,79000,98000,120000,140000,160000,190000,210000,240000,250000,270000,280000,290000,290000,290000,290000,300000,300000,310000,310000
Canada,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Cape Verde,200,500,500,500,500,1000,1000,1000,1000,1100,1300,1400,1600,1700,1900,2000,2100,2100,2100,2000,2000,2000,1900,1800,1700,1600
Central African Republic,4500,6300,8700,12000,16000,20000,26000,32000,38000,45000,53000,60000,67000,74000,80000,86000,90000,93000,94000,94000,92000,90000,89000,87000,85000,82000
Chad,4000,5400,7200,9400,12000,15000,19000,23000,28000,33000,39000,45000,53000,60000,67000,76000,83000,89000,95000,97000,96000,97000,99000,100000,100000,100000
Chile,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
China,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Colombia,2400,3000,3600,4300,5200,6200,7300,8500,9900,11000,13000,15000,16000,18000,19000,20000,21000,22000,22000,22000,23000,24000,25000,25000,24000,23000
Congo,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Costa Rica,500,500,500,1000,1000,1000,1000,1000,1000,1100,1200,1200,1200,1100,1100,1100,1100,1100,1100,1100,1100,1100,1100,1100,1100,1100
Croatia,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Cuba,100,100,200,200,200,200,200,500,500,500,500,500,500,500,500,500,500,500,500,1000,1000,1000,1000,1000,1000,1000
Cyprus,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Czech Republic,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Cote d'Ivoire,18000,24000,33000,43000,56000,70000,86000,100000,120000,140000,160000,180000,200000,220000,240000,250000,260000,260000,270000,270000,270000,250000,240000,230000,230000,230000
Democratic People's Republic of Korea,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Democratic Republic of the Congo,130000,150000,170000,190000,200000,220000,240000,250000,270000,280000,290000,300000,310000,330000,340000,350000,350000,360000,360000,360000,360000,360000,350000,350000,340000,330000
Denmark,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Djibouti,100,100,100,100,200,500,500,1000,1000,1100,1500,1900,2400,2900,3500,4000,4400,4700,5000,5100,5300,5400,5400,5400,5400,5300
Dominican Republic,500,1000,1200,1900,2900,4400,6300,8600,11000,15000,19000,23000,28000,32000,37000,42000,45000,48000,49000,50000,50000,49000,49000,47000,46000,44000
Ecuador,1800,2100,2500,2900,3400,4000,4700,5400,6300,7200,8100,9100,10000,11000,12000,13000,13000,14000,14000,14000,13000,13000,12000,12000,12000,11000
Egypt,100,100,100,100,100,100,200,200,200,500,500,500,500,500,1000,1000,1000,1000,1000,1000,1100,1200,1400,1500,1700,1900
El Salvador,1000,1000,1000,1200,1400,1600,1900,2200,2600,2900,3400,3800,4300,4700,5000,5200,5200,5200,5100,5000,4900,4700,4400,4200,4100,4000
Equatorial Guinea,200,500,500,500,500,1000,1000,1000,1000,1200,1400,1600,1900,2300,2700,3200,3800,4500,5200,5900,6600,7400,8100,8600,8800,9200
Eritrea,200,500,500,1000,1000,1000,1300,1700,2200,2900,3700,4600,5700,6900,8100,9200,10000,11000,11000,11000,10000,10000,10000,9500,9000,8400
Estonia,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Ethiopia,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Fiji,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Finland,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
France,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Gabon,500,1000,1000,1100,1400,1800,2400,3100,3900,5000,6200,7500,9000,11000,12000,13000,14000,14000,15000,16000,16000,17000,17000,17000,16000,16000
Gambia,200,200,500,500,500,500,1000,1000,1000,1200,1500,1900,2400,3000,3800,4600,5500,6300,7200,8100,8900,9700,10000,11000,11000,11000
Georgia,200,200,200,200,200,500,500,500,500,500,500,500,500,500,500,500,500,500,1000,1000,1000,1000,1000,1000,1000,1000
Germany,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Ghana,22000,26000,32000,38000,45000,53000,62000,72000,83000,95000,110000,120000,130000,140000,150000,160000,170000,180000,180000,180000,180000,180000,180000,170000,160000,160000
Greece,1100,1300,1400,1600,1700,1800,2000,2100,2200,2300,2300,2300,2200,2100,2000,2000,2000,2000,2100,2100,2100,2100,2100,2100,2000,2000
Guatemala,100,100,100,200,200,500,500,1000,1000,1400,1900,2500,3300,4300,4700,5200,5800,6500,7100,7800,8500,8600,8600,8800,9500,11000
Guinea,1000,1000,1500,2300,3500,5100,7200,9800,13000,17000,21000,25000,30000,34000,38000,42000,46000,48000,50000,51000,51000,50000,50000,49000,48000,49000
Guinea-Bissau,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Guyana,100,100,100,100,100,100,200,200,500,500,500,1000,1000,1000,1100,1200,1200,1200,1200,1200,1200,1100,1100,1100,1000,1000
Haiti,4400,6600,9500,13000,18000,24000,32000,40000,50000,60000,71000,82000,94000,100000,110000,120000,130000,140000,140000,140000,140000,130000,130000,130000,120000,110000
Honduras,4400,6100,8200,11000,13000,17000,20000,23000,27000,30000,33000,35000,37000,39000,39000,38000,37000,36000,34000,32000,30000,27000,25000,23000,20000,18000
Hungary,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Iceland,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
India,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Indonesia,100,100,100,100,100,100,100,200,500,500,1000,1200,1900,3000,4700,7300,11000,15000,20000,27000,36000,47000,61000,77000,95000,110000
Iran (Islamic Republic of),500,500,1000,1000,1000,1100,1300,1500,1800,2100,2600,3100,3700,4500,5500,6500,7700,8900,10000,11000,12000,14000,15000,16000,17000,18000
Ireland,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Israel,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Italy,100,100,100,100,100,100,100,100,200,500,1000,1200,1800,2400,3000,3500,3800,4000,4000,4000,4100,4100,4100,4000,3900,3800
Jamaica,500,500,1000,1200,1800,2500,3400,4500,5700,7100,8400,9900,11000,12000,14000,15000,15000,15000,16000,15000,15000,15000,14000,14000,13000,13000
Japan,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Kazakhstan,100,100,100,100,100,100,200,200,500,500,500,1000,1000,1000,1000,1200,1400,1700,1900,2200,2400,2700,3000,3300,3600,3800
Kenya,40000,59000,85000,120000,170000,220000,290000,370000,450000,550000,640000,740000,830000,910000,980000,1000000,1100000,1100000,1000000,1000000,960000,900000,840000,770000,720000,660000
Kyrgyzstan,100,100,100,100,100,100,100,100,100,100,100,200,200,200,500,500,500,500,1000,1000,1000,1000,1200,1400,1700,1900
Lao People's Democratic Republic,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Latvia,100,100,100,100,100,200,200,500,500,500,1000,1000,1000,1000,1000,1100,1200,1300,1300,1300,1400,1400,1400,1500,1500,1600
Lebanon,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Lesotho,1600,2200,3000,4200,5700,7900,11000,14000,19000,24000,30000,37000,45000,52000,60000,67000,73000,76000,78000,78000,78000,77000,75000,74000,73000,73000
Liberia,500,500,1000,1000,1400,2000,2800,3900,5300,7100,9000,11000,13000,16000,18000,20000,23000,25000,26000,27000,28000,29000,29000,29000,28000,28000
Lithuania,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Luxembourg,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Madagascar,100,100,100,200,500,1000,1000,1500,2300,3300,4700,6500,8600,11000,14000,17000,21000,24000,27000,30000,33000,36000,38000,39000,40000,41000
Malawi,44000,60000,79000,100000,130000,160000,200000,240000,280000,330000,380000,430000,480000,520000,560000,600000,630000,650000,660000,660000,650000,630000,610000,590000,560000,530000
Malaysia,100,200,1000,1900,4200,8100,13000,20000,28000,36000,44000,51000,58000,64000,69000,73000,77000,80000,82000,82000,82000,81000,79000,77000,74000,70000
Maldives,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Mali,6000,8700,12000,16000,22000,28000,34000,41000,48000,54000,60000,66000,72000,76000,80000,82000,83000,83000,81000,79000,76000,73000,70000,67000,66000,66000
Malta,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Mauritania,500,500,500,1000,1000,1000,1100,1400,1700,2100,2600,3100,3700,4400,5000,5700,6400,6900,7400,7800,8100,8400,8700,9000,9300,9400
Mauritius,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Mexico,500,1000,2000,3900,7000,11000,16000,22000,29000,37000,46000,55000,63000,69000,74000,78000,80000,82000,81000,80000,78000,74000,71000,67000,62000,58000
Mongolia,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
Montenegro,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Morocco,200,200,500,500,500,500,1000,1000,1000,1000,1200,1500,1800,2100,2400,2600,2900,3300,3700,4100,4500,4900,5400,5800,6000,6300
Mozambique,13000,17000,22000,28000,37000,48000,62000,78000,98000,120000,150000,180000,220000,250000,300000,340000,390000,420000,450000,470000,490000,520000,540000,570000,590000,590000
Myanmar,100,100,500,1000,1200,2200,4000,6500,9800,14000,19000,25000,33000,41000,50000,60000,70000,80000,88000,96000,100000,110000,110000,120000,120000,110000
Namibia,500,1000,1000,1600,2600,4000,6100,9000,13000,18000,24000,31000,38000,46000,54000,60000,64000,65000,62000,60000,58000,56000,53000,50000,47000,45000
Nepal,100,100,100,100,100,100,100,100,500,500,1000,1400,2200,3500,5100,7200,9500,12000,14000,17000,19000,21000,22000,24000,24000,25000
Netherlands,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
New Zealand,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Nicaragua,1700,2000,2200,2500,2800,3100,3400,3700,4100,4400,4800,5100,5400,5800,6100,6300,6500,6600,6500,6400,6200,6000,5800,5500,5200,4900
Niger,500,1000,1100,1600,2400,3400,4800,6700,9100,12000,16000,20000,24000,29000,35000,41000,47000,52000,56000,61000,64000,66000,68000,69000,69000,69000
Nigeria,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Norway,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Oman,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Pakistan,500,500,1000,1000,1000,1300,1600,1900,2200,2600,3100,3500,4000,4500,5000,5600,6200,6900,7700,8500,9500,11000,12000,14000,16000,18000
Panama,200,500,500,500,1000,1000,1300,1800,2200,2800,3100,3400,3700,4000,4400,4600,4800,4900,5000,5000,4900,4700,4600,4500,4400,4200
Papua New Guinea,100,100,200,200,500,500,1000,1000,1400,2000,2600,3500,4500,5600,7000,8400,9900,11000,12000,12000,12000,13000,13000,13000,13000,12000
Paraguay,500,500,1000,1000,1000,1200,1400,1800,2100,2500,2900,3300,3800,4300,4800,5400,5800,6000,6300,6400,6400,6500,6600,6700,6800,6800
Peru,10000,13000,17000,20000,23000,27000,30000,34000,36000,39000,41000,43000,44000,45000,45000,44000,44000,42000,40000,38000,35000,32000,29000,26000,23000,21000
Philippines,100,100,100,100,100,100,100,100,200,200,500,500,500,1000,1000,1000,1100,1200,1400,1600,1700,1900,2200,2500,2700,3100
Poland,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Portugal,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Republic of Korea,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Republic of Moldova,100,100,100,100,100,100,200,200,500,500,500,1000,1000,1000,1200,1500,1700,1900,2100,2300,2500,2700,2900,3100,3200,3400
Romania,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Russian Federation,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Rwanda,23000,28000,34000,40000,47000,54000,62000,72000,82000,92000,100000,110000,110000,120000,120000,120000,120000,120000,110000,110000,100000,98000,92000,85000,77000,70000
Senegal,1000,1300,1600,1900,2400,2900,3400,4100,4900,5800,6900,8100,9500,11000,13000,15000,17000,20000,21000,21000,21000,22000,22000,23000,24000,25000
Serbia,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Sierra Leone,100,100,100,100,100,100,200,500,500,1000,1000,1500,2200,3200,4400,5900,7600,9500,12000,14000,15000,17000,18000,20000,21000,23000
Singapore,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Slovakia,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Slovenia,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Somalia,100,200,200,500,500,1000,1200,1700,2400,3300,4400,5700,7100,8800,11000,12000,14000,16000,18000,19000,21000,22000,23000,24000,24000,25000
South Africa,4400,7900,14000,24000,41000,67000,110000,160000,240000,350000,490000,660000,840000,1000000,1300000,1500000,1700000,1900000,2000000,2100000,2200000,2200000,2200000,2200000,2200000,2100000
South Sudan,100,200,500,500,1000,1200,2000,3100,4700,6900,9700,13000,18000,23000,29000,35000,42000,50000,57000,65000,72000,78000,85000,91000,96000,100000
Spain,8000,9500,11000,13000,15000,17000,19000,19000,18000,17000,16000,15000,13000,12000,11000,10000,9100,8300,7500,6900,6300,5900,5600,5500,5500,5500
Sri Lanka,100,100,100,100,100,100,100,100,100,100,100,100,100,100,200,200,200,200,200,500,500,500,500,500,500,1000
Sudan,500,500,500,1000,1000,1000,1100,1400,1700,2100,2600,3200,3800,4600,5500,6400,7600,8800,10000,11000,12000,14000,15000,17000,19000,21000
Suriname,100,100,100,100,100,100,200,200,500,500,500,500,1000,1000,1000,1000,1000,1000,1000,1100,1100,1100,1100,1200,1200,1200
Swaziland,200,500,1000,1100,2100,3600,5700,8800,13000,17000,23000,29000,34000,40000,45000,50000,53000,55000,55000,54000,53000,53000,51000,50000,48000,47000
Sweden,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Switzerland,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Tajikistan,100,100,100,100,100,100,200,200,500,500,1000,1000,1000,1200,1600,1900,2300,2700,3200,3600,4100,4600,5000,5300,5600,6000
Thailand,200,1000,1900,4700,9900,19000,32000,50000,73000,99000,130000,160000,180000,210000,230000,240000,250000,240000,240000,230000,220000,200000,190000,180000,160000,140000
The former Yugoslav Republic of Macedonia,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Timor-Leste,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Togo,1700,2300,3300,4600,6200,8300,11000,14000,18000,22000,27000,33000,39000,45000,51000,56000,61000,65000,69000,72000,74000,74000,73000,71000,70000,68000
Trinidad and Tobago,500,500,1000,1000,1000,1000,1100,1300,1400,1600,1700,1800,1900,2000,2100,2000,2000,2000,1900,1900,1800,1800,1800,1800,1700,1700
Tunisia,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Turkey,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Uganda,190000,260000,330000,410000,500000,580000,670000,750000,820000,890000,950000,1000000,1000000,1100000,1100000,1100000,1000000,1000000,980000,940000,890000,840000,800000,750000,710000,660000
Ukraine,1000,1000,1400,1800,2200,2700,3300,4000,4800,5800,7100,8700,11000,13000,16000,19000,22000,25000,28000,31000,34000,36000,39000,40000,41000,41000
