"name",12/13,13/14,14/15,15/16,16/17,17/18
"Sabin Merino",NaN,38.0,42.0,38.0,19.0,15.0
"Iñaki Williams",NaN,14.0,43.0,37.0,49.0,41.0
"Markel Susaeta",46.0,43.0,48.0,47.0,36.0,39.0
"Aritz Aduriz",44.0,36.0,48.0,55.0,42.0,40.0
"Kike Sola",31.0,9.0,6.0,13.0,17.0,1.0
"Mikel Oyarzabal",NaN,NaN,5.0,32.0,43.0,33.0
"Adnan Januzaj",19.0,38.0,29.0,26.0,29.0,26.0
"Juanmi",26.0,24.0,38.0,21.0,41.0,29.0
"David Concha",NaN,15.0,35.0,27.0,11.0,14.0
"Willian José",26.0,17.0,38.0,34.0,34.0,30.0
"Jon Bautista",NaN,7.0,25.0,33.0,31.0,18.0
"Imanol Agirretxe",35.0,40.0,36.0,16.0,NaN,9.0
"Pione Sisto",10.0,29.0,24.0,42.0,56.0,28.0
"Emre Mor",NaN,NaN,0.0,13.0,19.0,24.0
"Iago Aspas",37.0,15.0,25.0,40.0,49.0,30.0
"Maximiliano Gómez",NaN,NaN,4.0,21.0,27.0,30.0
"Lucas Boyé",NaN,6.0,33.0,16.0,33.0,19.0
"Cristian Tello",34.0,30.0,37.0,35.0,42.0,24.0
"Joel Campbell",33.0,43.0,33.0,31.0,29.0,4.0
"Joaquín",45.0,37.0,34.0,32.0,29.0,27.0
"Francis Guerrero",NaN,NaN,5.0,29.0,NaN,15.0
"Antonio Sanabria",NaN,15.0,15.0,30.0,24.0,12.0
"Sergio León",6.0,30.0,35.0,42.0,36.0,26.0
"Rubén Castro",40.0,34.0,46.0,40.0,47.0,7.0
"Loren Morón",NaN,NaN,11.0,30.0,NaN,28.0
"Pablo Piatti",19.0,29.0,30.0,37.0,31.0,24.0
"Gerard Moreno",17.0,32.0,39.0,36.0,38.0,34.0
"Leo Baptistão",28.0,33.0,26.0,34.0,22.0,31.0
"Sergio García",28.0,41.0,41.0,13.0,24.0,28.0
"Jairo Morillas",1.0,25.0,39.0,24.0,18.0,
"Zakaria Bakkali",25.0,25.0,5.0,19.0,21.0,19.0
"Borja Valle",6.0,18.0,26.0,30.0,26.0,10.0
"Federico Cartabia",15.0,40.0,30.0,29.0,17.0,19.0
"Carles Gil",31.0,35.0,20.0,28.0,24.0,10.0
"Lucas Pérez",18.0,50.0,21.0,39.0,22.0,27.0
"Florin Andone",NaN,34.0,30.0,36.0,39.0,24.0
"Adrián López",46.0,39.0,18.0,23.0,26.0,22.0
"Isaac Success",NaN,0.0,38.0,33.0,19.0,4.0
"Maxime Lestienne",47.0,42.0,31.0,20.0,16.0,15.0
"Chory Castro",33.0,35.0,37.0,26.0,31.0,20.0
"Keko",5.0,20.0,36.0,32.0,22.0,18.0
"Samu García",NaN,28.0,38.0,26.0,26.0,20.0
"Diego Rolán",25.0,26.0,38.0,42.0,33.0,18.0
"Borja Bastón",32.0,33.0,40.0,39.0,20.0,18.0
"Brown Ideye",40.0,29.0,31.0,36.0,45.0,7.0
"Adalberto Peñaranda",NaN,2.0,NaN,36.0,10.0,13.0
"Youssef En-Nesyri",NaN,NaN,NaN,NaN,15.0,18.0
"Cristhian Stuani",34.0,38.0,45.0,39.0,28.0,23.0
"Anthony Lozano",17.0,3.0,6.0,33.0,35.0,26.0
"Michael Olunga",2.0,NaN,2.0,32.0,9.0,11.0
"Takashi Inui",34.0,22.0,29.0,31.0,30.0,28.0
"Pedro León",30.0,40.0,29.0,33.0,39.0,4.0
"Fabián Orellana",33.0,33.0,39.0,38.0,25.0,10.0
"Iván Alejo",NaN,6.0,21.0,17.0,35.0,14.0
"Rubén Peña",5.0,19.0,31.0,34.0,34.0,21.0
"Sergi Enrich",25.0,39.0,40.0,41.0,40.0,21.0
"Kike",36.0,44.0,51.0,24.0,27.0,28.0
"Charles",47.0,31.0,31.0,35.0,21.0,26.0
"Alfonso Pedraza",NaN,NaN,15.0,33.0,37.0,30.0
"Burgui",21.0,36.0,37.0,31.0,34.0,18.0
"Ibai Gómez",46.0,24.0,34.0,9.0,35.0,28.0
"Hernán Pérez",16.0,27.0,16.0,33.0,35.0,14.0
"Munir El Haddadi",NaN,21.0,33.0,26.0,39.0,27.0
