"name",12/13,13/14,14/15,15/16,16/17,17/18
"Luis Muriel",1428.0,1905.0,1379.0,1919.0,2415.0,1931.0
"Sandro Ramírez",NaN,1428.0,2692.0,851.0,2402.0,798.0
"Roberto Soriano",1018.0,1934.0,2665.0,3094.0,3098.0,1228.0
"Denis Cheryshev",2608.0,127.0,2554.0,632.0,767.0,900.0
"Samu Castillejo",NaN,NaN,2470.0,2880.0,2602.0,1872.0
"Daniel Raba",NaN,NaN,NaN,8.0,976.0,2009.0
"Salem Al-Dawsari",1155.0,1859.0,2355.0,1957.0,2292.0,1067.0
"Carlos Bacca",3629.0,3427.0,3574.0,3605.0,2310.0,2385.0
"Nicola Sansone",1564.0,1733.0,2689.0,2605.0,2720.0,510.0
"Enes Ünal",NaN,391.0,788.0,1439.0,2806.0,2002.0
"Roger Martínez",116.0,505.0,1975.0,2216.0,2067.0,192.0
"Iker Muniain",2868.0,3021.0,3245.0,1364.0,3150.0,928.0
"Iñigo Córdoba",NaN,NaN,483.0,808.0,2261.0,1504.0
"Sabin Merino",NaN,2240.0,3544.0,1959.0,668.0,427.0
"Iñaki Williams",NaN,953.0,3293.0,2426.0,3621.0,2901.0
"Markel Susaeta",3812.0,3300.0,2840.0,3409.0,1473.0,2614.0
"Aritz Aduriz",2982.0,2693.0,3611.0,4487.0,3186.0,2899.0
"Kike Sola",2061.0,418.0,129.0,483.0,493.0,62.0
"Mikel Oyarzabal",NaN,NaN,210.0,2310.0,3170.0,2517.0
"Adnan Januzaj",1523.0,2348.0,1685.0,1267.0,1956.0,1404.0
"Juanmi",1284.0,1151.0,2554.0,587.0,2097.0,1543.0
"David Concha",NaN,626.0,2929.0,1616.0,136.0,652.0
"Willian José",1618.0,1001.0,2219.0,2085.0,2541.0,2346.0
"Jon Bautista",NaN,491.0,1315.0,2400.0,1833.0,520.0
"Imanol Agirretxe",2152.0,2260.0,2262.0,1173.0,NaN,229.0
"Pione Sisto",246.0,1578.0,1705.0,2631.0,3361.0,2046.0
"Emre Mor",NaN,NaN,0.0,973.0,694.0,896.0
"Iago Aspas",3031.0,468.0,940.0,3075.0,3607.0,2566.0
"Maximiliano Gómez",NaN,NaN,183.0,1679.0,2297.0,2482.0
"Lucas Boyé",NaN,273.0,1542.0,1347.0,1607.0,240.0
"Cristian Tello",1631.0,830.0,2119.0,2093.0,2416.0,1386.0
"Joel Campbell",1889.0,3185.0,1832.0,1696.0,1246.0,112.0
"Joaquín",3318.0,2239.0,2356.0,2108.0,1704.0,2059.0
"Francis Guerrero",NaN,NaN,275.0,2048.0,NaN,1082.0
"Antonio Sanabria",NaN,876.0,1095.0,2272.0,1650.0,638.0
"Sergio León",417.0,2092.0,2355.0,3544.0,2665.0,1864.0
"Rubén Castro",3309.0,2614.0,3975.0,3482.0,3794.0,220.0
"Loren Morón",NaN,NaN,334.0,1629.0,NaN,2424.0
"Pablo Piatti",1081.0,1555.0,2044.0,1759.0,2475.0,1460.0
"Gerard Moreno",900.0,2279.0,2629.0,2157.0,3400.0,2991.0
"Leo Baptistão",2178.0,1741.0,1806.0,1720.0,1450.0,2290.0
"Sergio García",2401.0,3614.0,3567.0,1131.0,1916.0,1293.0
"Jairo Morillas",45.0,1593.0,2757.0,1302.0,795.0,NaN
"Zakaria Bakkali",1884.0,1165.0,352.0,694.0,399.0,850.0
"Borja Valle",271.0,1400.0,1936.0,1961.0,1739.0,159.0
"Federico Cartabia",914.0,2313.0,2163.0,1546.0,872.0,1342.0
"Carles Gil",2084.0,2664.0,1000.0,1779.0,1500.0,534.0
"Lucas Pérez",1605.0,3555.0,1554.0,3342.0,1038.0,2123.0
"Florin Andone",NaN,2845.0,2297.0,3223.0,3021.0,1503.0
"Adrián López",2528.0,1745.0,723.0,950.0,1064.0,1708.0
"Isaac Success",NaN,0.0,2273.0,2603.0,503.0,102.0
"Maxime Lestienne",3258.0,3461.0,1378.0,1042.0,849.0,625.0
"Chory Castro",1500.0,1612.0,2171.0,1476.0,1903.0,1636.0
"Keko",193.0,981.0,2644.0,2461.0,1052.0,1137.0
"Samu García",NaN,1607.0,2635.0,1399.0,1431.0,604.0
"Diego Rolán",1598.0,1729.0,2659.0,3074.0,2046.0,1175.0
"Borja Bastón",1801.0,1909.0,3400.0,2685.0,683.0,1063.0
"Brown Ideye",3222.0,1425.0,1766.0,2848.0,3408.0,478.0
