"name",12/13,13/14,14/15,15/16,16/17,17/18
"Cristhian Stuani",7,7,15,11,5,15
"Anthony Lozano",1,1,4,10,10,5
"Michael Olunga",0,NaN,0,13,2,3
"Takashi Inui",6,2,1,3,3,4
"Pedro León",3,7,2,3,11,0
"Fabián Orellana",0,5,7,7,5,3
"Iván Alejo",NaN,4,1,1,3,1
"Rubén Peña",0,0,1,9,2,0
"Sergi Enrich",3,10,16,11,12,4
"Kike",7,23,12,4,9,5
"Charles",32,12,4,12,3,6
"Alfonso Pedraza",NaN,NaN,1,6,7,4
"Burgui",3,5,7,2,2,1
"Ibai Gómez",5,8,2,0,7,5
"Hernán Pérez",2,3,4,7,4,0
"Munir El Haddadi",NaN,15,5,8,8,10
"John Guidetti",6,1,15,12,9,2
"Christian Santos",10,0,23,18,5,3
"Rubén Sobrino",1,0,6,2,3,2
"Ermedin Demirovic",NaN,NaN,18,9,15,3
"Alexander Szymanowski",10,5,1,13,8,2
"José Naranjo",1,0,4,16,6,1
"Nordin Amrabat",1,4,6,0,0,2
"Nabil El Zhar",3,5,1,2,4,2
"Omar",1,0,0,7,0,0
"Claudio Beauvue",8,7,27,9,2,3
"Miguel Ángel Guerrero",9,1,11,2,5,2
"Amath Ndiaye",NaN,NaN,3,NaN,13,2
"Dani Pacheco",9,7,0,3,6,0
"Álvaro Jiménez",NaN,2,8,1,2,1
"Loïc Rémy",9,14,9,3,0,6
"Ángel Rodríguez",7,2,0,12,21,11
"Jorge Molina",14,12,20,1,22,7
"José Luis Morales",1,3,3,7,4,7
"Fahad Al-Muwallad",3,4,8,3,14,4
"Ivi",NaN,8,3,9,14,5
"Jason",NaN,3,5,2,10,1
"Roger Martí",8,12,6,9,23,1
"Emmanuel Boateng",NaN,NaN,2,3,10,2
"Alex Alegría",1,NaN,14,12,3,0
"Giampaolo Pazzini",16,3,5,6,23,5
"Armando Sadiku",22,9,6,17,15,7
"Jairo Samperio",10,6,2,8,2,0
"Hernán Toledo",NaN,NaN,0,1,2,1
"Nacho Gil",NaN,0,5,3,8,0
"Momo",5,5,7,2,3,2
"Jonathan Calleri",1,7,19,12,1,10
"Emmanuel Emenike",8,15,5,9,8,4
"Imoh Ezekiel",16,15,12,3,5,0
"Justin Kluivert",NaN,NaN,0,0,10,7
"Amin Younes",2,0,2,9,7,3
"Dennis Johnsen",NaN,NaN,NaN,2,12,4
"David Neres",NaN,NaN,NaN,3,5,11
"Vaclav Cerny",NaN,0,14,9,16,2
"Kasper Dolberg",NaN,NaN,0,8,23,8
"Mateo Cassierra",NaN,NaN,7,6,15,15
"Klaas-Jan Huntelaar",16,14,14,16,5,10
"Hirving Lozano",NaN,2,9,12,18,15
"Steven Bergwijn",NaN,0,4,10,4,7
"Gastón Pereiro",0,5,7,14,11,6
"Albert Gudmundsson",0,0,3,5,18,7
"Maximiliano Romero",NaN,NaN,0,3,1,4
"Luuk de Jong",8,0,26,32,9,11
"Sam Lammers",NaN,NaN,7,13,21,10
"Donyell Malen",NaN,NaN,0,6,12,8
"Sam Larsson",8,2,8,6,9,7
"Jean-Paul Boëtius",6,11,5,4,8,4
"Cheick Toure",NaN,NaN,NaN,NaN,0,3
"Steven Berghuis",5,14,11,0,8,17
"Bilal Basacikoglu",0,8,3,4,4,2
"Nicolai Jörgensen",12,8,12,19,25,10
"Robin van Persie",30,18,12,22,14,3
"Dylan Vente",NaN,NaN,NaN,NaN,20,9
"Oussama Idrissi",NaN,1,4,12,5,9
"Alireza Jahanbakhsh",8,9,13,3,12,13
"Calvin Stengs",NaN,NaN,NaN,1,9,0
"Wout Weghorst",8,13,10,15,18,20
"Ondřej Mihálik",NaN,NaN,0,2,7,5
"Myron Boadu",NaN,NaN,NaN,NaN,13,
"Ferdy Druijf",NaN,NaN,2,14,22,6
"Patrick Joosten",NaN,0,0,4,1,2
"Gyrano Kerk",0,0,10,7,11,6
"Bilal Ould-Chikh",0,2,1,0,NaN,1
"Jean-Christophe Bahebeck",6,2,3,3,4,3
"Cyriel Dessers",NaN,0,7,0,29,10
"Simon Makienok",15,13,3,5,6,0
